interaction_name,pathway_name,uniprot_ligand,uniprot_receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version,unique_int
TGFB2_ACVR1_TGFBR1,TGFb,P61812,P36897_P37173_Q04771,,,,,Secreted Signaling,TGFB2 - (ACVR1+TGFBR1),PMID: 29376829,FALSE,TGFB2,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P61812_P36897_P37173_Q04771
TGFB3_ACVR1_TGFBR1,TGFb,P10600,P36897_P37173_Q04771,,,,,Secreted Signaling,TGFB3 - (ACVR1+TGFBR1),PMID: 29376829,FALSE,TGFB3,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein",cytokine;growth factor,TRUE,"TGFBR2, ACVR1, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P10600_P36897_P37173_Q04771
BMP2_BMPR1A_ACVR2A,BMP,P12643,P27037_P36894,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1A+ACVR2A),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_P27037_P36894
BMP2_BMPR1A_ACVR2B,BMP,P12643,P36894_Q13705,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1A+ACVR2B),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_P36894_Q13705
BMP2_BMPR1A_BMPR2,BMP,P12643,P36894_Q13873,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1A+BMPR2),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_P36894_Q13873
BMP2_BMPR1B_ACVR2A,BMP,P12643,O00238_P27037,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1B+ACVR2A),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_O00238_P27037
BMP2_BMPR1B_ACVR2B,BMP,P12643,O00238_Q13705,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1B+ACVR2B),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"BMPR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_O00238_Q13705
BMP2_BMPR1B_BMPR2,BMP,P12643,O00238_Q13873,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP2 - (BMPR1B+BMPR2),KEGG: hsa04350; PMID:26893264,FALSE,BMP2,TGF-beta,Secreted,"Pharmaceutical, Disulfide bond, Differentiation, Secreted, Growth factor, Cytokine, Glycoprotein, Disease variant, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis, 3D-structure, Dwarfism",cytokine;growth factor,FALSE,"BMPR1B, BMPR2","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein, Phosphoprotein",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12643_O00238_Q13873
BMP4_BMPR1A_ACVR2A,BMP,P12644,P27037_P36894,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP4 - (BMPR1A+ACVR2A),KEGG: hsa04350; PMID:26893264,FALSE,BMP4,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis",cytokine;growth factor,FALSE,"ACVR2A, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Membrane, Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Signal, Reference proteome, Metal-binding, Transmembrane helix, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Disease variant, Cell membrane",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12644_P27037_P36894
BMP4_BMPR1A_ACVR2B,BMP,P12644,P36894_Q13705,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP4 - (BMPR1A+ACVR2B),KEGG: hsa04350; PMID:26893264,FALSE,BMP4,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis",cytokine;growth factor,FALSE,"ACVR2B, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Heterotaxy, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12644_P36894_Q13705
BMP4_BMPR1A_BMPR2,BMP,P12644,P36894_Q13873,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP4 - (BMPR1A+BMPR2),KEGG: hsa04350; PMID:26893264,FALSE,BMP4,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis",cytokine;growth factor,FALSE,"BMPR2, BMPR1A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Cell surface","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Glycoprotein, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12644_P36894_Q13873
BMP4_BMPR1B_ACVR2A,BMP,P12644,O00238_P27037,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP4 - (BMPR1B+ACVR2A),KEGG: hsa04350; PMID:26893264,FALSE,BMP4,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis",cytokine;growth factor,FALSE,"BMPR1B, ACVR2A","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Membrane","Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Glycoprotein",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12644_O00238_P27037
BMP4_BMPR1B_ACVR2B,BMP,P12644,O00238_Q13705,,BMP antagonist,,BMP inhibition receptor,Secreted Signaling,BMP4 - (BMPR1B+ACVR2B),KEGG: hsa04350; PMID:26893264,FALSE,BMP4,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disulfide bond, Differentiation, Secreted, Extracellular matrix, Growth factor, Cytokine, Glycoprotein, Disease variant, Microphthalmia, Signal, Developmental protein, Reference proteome, Phosphoprotein, Cleavage on pair of basic residues, Osteogenesis, Chondrogenesis",cytokine;growth factor,FALSE,"BMPR1B, ACVR2B","Protein kinase superfamily, TKL Ser/Thr protein kinase",Cell membrane,"Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Transferase, Manganese, Disease variant, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Serine/threonine-protein kinase, Chondrogenesis, 3D-structure, Nucleotide-binding, Dwarfism, Magnesium, Heterotaxy, Glycoprotein, Phosphoprotein",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P12644_O00238_Q13705
